"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated percent of households with a subscription to broadband"
"10314","10314","=""10314""","78.71"
"11234","11234","=""11234""","75.72"
"10312","10312","=""10312""","81.77"
"10306","10306","=""10306""","75.95"
"11430","11430","=""11430""","N/A"
"10309","10309","=""10309""","80.89"
"10305","10305","=""10305""","74.34"
"10304","10304","=""10304""","65.99"
"11385","11385","=""11385""","72.29"
"11236","11236","=""11236""","76.45"
"10301","10301","=""10301""","70.39"
"10464","10464","=""10464""","76.50"
"11208","11208","=""11208""","69.45"
"10465","10465","=""10465""","69.60"
"11434","11434","=""11434""","57.47"
"10303","10303","=""10303""","64.93"
"11413","11413","=""11413""","61.11"
"11357","11357","=""11357""","76.84"
"11691","11691","=""11691""","62.38"
"11101","11101","=""11101""","76.20"
"11368","11368","=""11368""","64.80"
"11207","11207","=""11207""","62.23"
"11378","11378","=""11378""","76.34"
"10471","10471","=""10471""","77.05"
"11697","11697","=""11697""","74.32"
"11367","11367","=""11367""","74.89"
"11362","11362","=""11362""","78.67"
"11377","11377","=""11377""","75.85"
"11365","11365","=""11365""","75.20"
"10469","10469","=""10469""","68.64"
"11364","11364","=""11364""","82.53"
"11235","11235","=""11235""","68.61"
"10461","10461","=""10461""","70.07"
"11414","11414","=""11414""","73.49"
"11211","11211","=""11211""","65.49"
"10467","10467","=""10467""","62.23"
"11229","11229","=""11229""","73.64"
"11354","11354","=""11354""","60.09"
"11215","11215","=""11215""","85.16"
"11214","11214","=""11214""","71.05"
"11432","11432","=""11432""","68.04"
"10473","10473","=""10473""","69.27"
"11203","11203","=""11203""","68.43"
"11209","11209","=""11209""","76.70"
"11379","11379","=""11379""","77.93"
"11420","11420","=""11420""","78.59"
"11223","11223","=""11223""","70.79"
"11422","11422","=""11422""","80.48"
"10466","10466","=""10466""","64.70"
"11375","11375","=""11375""","78.75"
"10308","10308","=""10308""","81.51"
"10307","10307","=""10307""","77.11"
"11358","11358","=""11358""","74.96"
"10475","10475","=""10475""","67.54"
"11230","11230","=""11230""","62.66"
"10310","10310","=""10310""","70.65"
"11361","11361","=""11361""","81.79"
"11220","11220","=""11220""","67.89"
"11355","11355","=""11355""","57.53"
"11105","11105","=""11105""","78.94"
"11412","11412","=""11412""","62.10"
"11210","11210","=""11210""","76.29"
"11418","11418","=""11418""","76.72"
"11222","11222","=""11222""","72.88"
"11224","11224","=""11224""","60.02"
"10463","10463","=""10463""","70.03"
"11204","11204","=""11204""","64.47"
"11427","11427","=""11427""","74.58"
"11356","11356","=""11356""","70.07"
"11433","11433","=""11433""","56.96"
"11212","11212","=""11212""","58.12"
"10474","10474","=""10474""","58.99"
"11435","11435","=""11435""","72.34"
"11373","11373","=""11373""","73.00"
"11370","11370","=""11370""","75.05"
"10462","10462","=""10462""","66.21"
"11219","11219","=""11219""","47.95"
"11228","11228","=""11228""","76.17"
"11231","11231","=""11231""","77.84"
"10470","10470","=""10470""","63.49"
"11206","11206","=""11206""","58.63"
"10035","10035","=""10035""","53.97"
"11218","11218","=""11218""","70.67"
"11201","11201","=""11201""","84.69"
"11423","11423","=""11423""","65.10"
"11360","11360","=""11360""","81.19"
"11221","11221","=""11221""","52.41"
"11426","11426","=""11426""","82.80"
"11233","11233","=""11233""","58.84"
"11694","11694","=""11694""","74.50"
"10460","10460","=""10460""","61.33"
"11429","11429","=""11429""","81.95"
"11421","11421","=""11421""","76.12"
"11226","11226","=""11226""","65.97"
"11232","11232","=""11232""","69.58"
"10302","10302","=""10302""","64.68"
"11411","11411","=""11411""","74.21"
"11419","11419","=""11419""","73.27"
"11417","11417","=""11417""","77.29"
"11238","11238","=""11238""","77.46"
"10034","10034","=""10034""","65.09"
"11371","11371","=""11371""","N/A"
"11366","11366","=""11366""","81.31"
"10468","10468","=""10468""","60.70"
"11369","11369","=""11369""","71.75"
"11213","11213","=""11213""","62.95"
"11692","11692","=""11692""","67.71"
"10457","10457","=""10457""","57.64"
"10472","10472","=""10472""","57.37"
"10454","10454","=""10454""","56.04"
"10451","10451","=""10451""","59.17"
"10456","10456","=""10456""","58.28"
"10458","10458","=""10458""","57.83"
"11237","11237","=""11237""","55.57"
"10452","10452","=""10452""","56.76"
"11693","11693","=""11693""","70.19"
"11004","11004","=""11004""","79.01"
"11205","11205","=""11205""","69.64"
"11374","11374","=""11374""","73.01"
"11216","11216","=""11216""","69.08"
"10453","10453","=""10453""","58.26"
"11225","11225","=""11225""","67.98"
"10002","10002","=""10002""","52.08"
"11363","11363","=""11363""","82.71"
"10027","10027","=""10027""","63.97"
"11106","11106","=""11106""","76.10"
"10024","10024","=""10024""","83.58"
"11428","11428","=""11428""","74.84"
"10459","10459","=""10459""","58.41"
"10029","10029","=""10029""","62.16"
"11436","11436","=""11436""","65.37"
"11102","11102","=""11102""","77.65"
"10025","10025","=""10025""","78.20"
"11217","11217","=""11217""","81.19"
"11372","11372","=""11372""","74.46"
"10455","10455","=""10455""","58.12"
"11103","11103","=""11103""","78.03"
"10019","10019","=""10019""","79.46"
"10011","10011","=""10011""","84.91"
"11416","11416","=""11416""","73.42"
"10032","10032","=""10032""","62.68"
"10031","10031","=""10031""","70.51"
"11239","11239","=""11239""","56.02"
"10009","10009","=""10009""","62.81"
"10001","10001","=""10001""","83.97"
"10033","10033","=""10033""","68.57"
"10003","10003","=""10003""","82.14"
"11415","11415","=""11415""","72.26"
"10014","10014","=""10014""","86.21"
"10013","10013","=""10013""","73.67"
"10004","10004","=""10004""","93.70"
"10016","10016","=""10016""","84.05"
"10023","10023","=""10023""","82.71"
"10128","10128","=""10128""","82.60"
"10036","10036","=""10036""","80.11"
"10039","10039","=""10039""","62.19"
"10022","10022","=""10022""","87.13"
"11104","11104","=""11104""","77.84"
"10040","10040","=""10040""","69.54"
"10010","10010","=""10010""","84.75"
"10021","10021","=""10021""","84.85"
"10065","10065","=""10065""","82.60"
"10026","10026","=""10026""","69.07"
"10012","10012","=""10012""","79.54"
"10018","10018","=""10018""","86.78"
"10017","10017","=""10017""","84.14"
"10028","10028","=""10028""","88.00"
"10038","10038","=""10038""","73.78"
"10030","10030","=""10030""","64.55"
"10037","10037","=""10037""","67.22"
"11359","11359","=""11359""","N/A"
"10044","10044","=""10044""","82.70"
"10075","10075","=""10075""","87.13"
"11005","11005","=""11005""","57.50"
"10007","10007","=""10007""","91.49"
"10280","10280","=""10280""","89.45"
"10069","10069","=""10069""","88.19"
"10006","10006","=""10006""","93.94"
"10282","10282","=""10282""","94.82"
"10005","10005","=""10005""","88.25"
"11109","11109","=""11109""","94.88"
"10311","10311","=""10311""","N/A"
