"active_date","address","boro","census_tract","city","community_board","corner","council_district","cross_street_1","cross_street_2","install_date","latitude","longitude","nta","nta_name","phone_status","ppt_id","site_id","state","status","tablet_status","wifi_status","zip"
"2017-03-08T00:00:00.000","632 NOSTRAND AVENUE","Brooklyn","315","New York","8","SW","36","DEAN STREET","BERGEN STREET","2017-02-17T00:00:00.000","40.676752","-73.949935","BK61","Crown Heights North","up","127047","bk-08-127047","NY","Link Active!","up","up","11216"
"2018-01-05T00:00:00.000","41 SACKMAN STREET","Brooklyn","367","New York","16","SE","37","FULTON STREET","HERKIMER STREET","2017-09-17T00:00:00.000","40.67784547","-73.90590131","BK79","Ocean Hill","up","145930","bk-16-145930","NY","Link Active!","up","up","11233"
"2018-07-27T00:00:00.000","3723 CHURCH AVENUE","Brooklyn","816","New York","17","NW","41","EAST 37 STREET","EAST 38 STREET","2017-11-10T00:00:00.000","40.65122997","-73.94206208","BK91","East Flatbush-Farragut","up","146003","bk-17-146003","NY","Link Active!","up","up","11203"
"2017-06-13T00:00:00.000","111 EAST BURNSIDE AVENUE","Bronx","241","New York","5","NW","14","CRESTON AVENUE","MORRIS AVENUE","2017-04-15T00:00:00.000","40.853028","-73.905076","BX41","Mount Hope","up","111577","bx-05-111577","NY","Link Active!","up","up","10453"
"2016-07-01T00:00:00.000","2374 JEROME AVENUE","Bronx","239","New York","5","NE","14","EAST 184 STREET","EAST FORDHAM ROAD","2016-06-09T00:00:00.000","40.86063","-73.902369","BX40","Fordham South","up","119606","bx-05-119606","NY","Link Active!","up","up","10468"
"2017-08-01T00:00:00.000","1831 WEBSTER AVENUE","Bronx","231","New York","5","MIDBLK","15","EAST 175 STREET","EAST 176 STREET","2017-06-24T00:00:00.000","40.846169","-73.901951","BX41","Mount Hope","up","138759","bx-05-138759","NY","Link Active!","up","up","10457"
"2016-11-18T00:00:00.000","835 BROADWAY","Manhattan","61","New York","2","SW","2","EAST 13 STREET","EAST 12 STREET","2016-10-29T00:00:00.000","40.73389175","-73.99105603","MN23","West Village","up","133446_133454","mn-02-133446","NY","Link Active!","up","up","10003"
"2016-11-10T00:00:00.000","62 EAST 13 STREET","Manhattan","61","New York","2","SW","2","BROADWAY","UNION SQUARE WEST","2016-10-15T00:00:00.000","40.734036","-73.991208","MN23","West Village","up","133831_133832","mn-02-133831","NY","Link Active!","up","up","10003"
"2017-04-10T00:00:00.000","325 HUDSON STREET","Manhattan","37","New York","2","NW","3","VANDAM STREET","CHARLTON STREET","2017-01-28T00:00:00.000","40.726889","-74.007487","MN24","SoHo-TriBeCa-Civic Center-Little Italy","up","135935_135967","mn-02-135935","NY","Link Active!","up","up","10013"
,"260 SPRING STREET","Manhattan","37","New York","2","SW","3","VARICK STREET","HUDSON STREET","2018-08-01T00:00:00.000","40.725666","-74.00627426","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Not Available","138004_138005","mn-02-138004","NY","Link Installed; Connecting Power and Fiber","Not Available","Not Available","10013"
"2016-12-12T00:00:00.000","121 2 AVENUE","Manhattan","38","New York","3","NW","2","EAST 7 STREET","ST. MARKS PLACE","2016-11-12T00:00:00.000","40.72815774","-73.98812504","MN22","East Village","up","107697","mn-03-107697","NY","Link Active!","up","up","10003"
